product_id,variant_id,title,variant,categories,brand,old_price_usd,uplift_usd,rule,new_price_usd,gain_usd,gain_pct,capped,available,sku,image,url
9470203330778,48547856646362,Nutricost Niacin,500mg / 240 capsules,Vitamin B | Vitamins,Nutricost,45.00,5.00,Vitamin B,50.00,+5.00,11.1%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Nutricost-Niacin-Vitamin-B3-500mg-240-Capsules-Gluten-Free-and-Non-GMO-Supplement_343f7bb1-daa8-4f10-bd63-0a051bc64fbe.1f77fba0c669e61d1ff34cf918dafaa4.webp?v=1788525778,https://proteindistrictlb.com/products/nutricost-niacin
9470194286810,48547845439706,Natural Factors Niacin,500mg / 90 capsules,Vitamin B | Vitamins,Natural Factors,44.00,5.00,Vitamin B,49.00,+5.00,11.4%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/OIP_8.webp?v=1788525410,https://proteindistrictlb.com/products/natural-factors-niacin
9468717433050,48544198033626,Thorne Vitamin K,60 serving,Vitamins,Thorne Research,83.00,5.00,Vitamins,88.00,+5.00,6.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/thorne-research-vitamin-k-formerly-3-k-complete-60.webp?v=1788438492,https://proteindistrictlb.com/products/thorne-vitamin-k
9468715663578,48544188563674,Thorne Vitamin D,5000 IU / 60 serving,Vitamin D | Vitamins,Thorne Research,71.00,5.00,Vitamin D,76.00,+5.00,7.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/thorne-supplements-d-5000-thorne-vitamin-d-14270759305279.webp?v=1788437999,https://proteindistrictlb.com/products/thorne-vitamin-d
9468714156250,48544186728666,Nutricost Vitamin K2 MK7,100mcg / 240serving,Vitamins,Nutricost,47.00,5.00,Vitamins,52.00,+5.00,10.6%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/24_697d1ce6-f39c-4970-9681-b468379a3e03.webp?v=1788437654,https://proteindistrictlb.com/products/nutricost-vitamin-k2-mk7
9460856946906,48520372945114,Biotech USA Zero Sauce,Barbecue,Snacks,Biotech USA,15.00,2.00,Snacks,17.00,+2.00,13.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/image_2020-05-07_5eb3daf232f2a.webp?v=1787922179,https://proteindistrictlb.com/products/biotech-usa-zero-sauce
9460856946906,48520372977882,Biotech USA Zero Sauce,Spicy Garlic,Snacks,Biotech USA,15.00,2.00,Snacks,17.00,+2.00,13.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/image_2020-05-07_5eb3daf232f2a.webp?v=1787922179,https://proteindistrictlb.com/products/biotech-usa-zero-sauce
9460856946906,48520373010650,Biotech USA Zero Sauce,Sweet Chili,Snacks,Biotech USA,15.00,2.00,Snacks,17.00,+2.00,13.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/image_2020-05-07_5eb3daf232f2a.webp?v=1787922179,https://proteindistrictlb.com/products/biotech-usa-zero-sauce
9460856946906,48520373043418,Biotech USA Zero Sauce,Caesar,Snacks,Biotech USA,15.00,2.00,Snacks,17.00,+2.00,13.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/image_2020-05-07_5eb3daf232f2a.webp?v=1787922179,https://proteindistrictlb.com/products/biotech-usa-zero-sauce
9460856946906,48520373076186,Biotech USA Zero Sauce,Ketchup,Snacks,Biotech USA,15.00,2.00,Snacks,17.00,+2.00,13.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/image_2020-05-07_5eb3daf232f2a.webp?v=1787922179,https://proteindistrictlb.com/products/biotech-usa-zero-sauce
9460856946906,48520373108954,Biotech USA Zero Sauce,Chocolate Syrup,Snacks,Biotech USA,15.00,2.00,Snacks,17.00,+2.00,13.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/image_2020-05-07_5eb3daf232f2a.webp?v=1787922179,https://proteindistrictlb.com/products/biotech-usa-zero-sauce
9457693819098,48505689276634,NXT Nutrition Beef Protein Isolate,Apple black currant,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689309402,NXT Nutrition Beef Protein Isolate,Blue raspberry,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689342170,NXT Nutrition Beef Protein Isolate,Cherry cola,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689374938,NXT Nutrition Beef Protein Isolate,Cola,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689407706,NXT Nutrition Beef Protein Isolate,Fruit burst,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689440474,NXT Nutrition Beef Protein Isolate,Mango and orange,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689473242,NXT Nutrition Beef Protein Isolate,Pineapple,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689506010,NXT Nutrition Beef Protein Isolate,Summer fruits,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9457693819098,48505689538778,NXT Nutrition Beef Protein Isolate,Watermelon and strawberry,Beef | Isolate | Whey protein,NXT Nutrition,100.00,5.00,Whey protein,105.00,+5.00,5.0%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/beef_protein_apple_black_currant_5efa1006-0610-4726-a580-fc9b25157bd9.webp?v=1787755907,https://proteindistrictlb.com/products/nxt-nutrition-beef-protein-isolate
9092389830874,47134436425946,Rule 1 Creatine 75 Servings Unflavored,400 grams,Creatine | Rule 1 | Unflavored Creatine,Rule 1 Proteins,40.00,5.00,Unflavored Creatine,45.00,+5.00,12.5%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Copy_of_Untitled_-_2025-11-20T182241.756.png?v=1763655769,https://proteindistrictlb.com/products/rule-1-creatine-75-servings-unflavored
9092389830874,47134436458714,Rule 1 Creatine 75 Servings Unflavored,nutrition facts,Creatine | Rule 1 | Unflavored Creatine,Rule 1 Proteins,40.00,5.00,Unflavored Creatine,45.00,+5.00,12.5%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Copy_of_Untitled_-_2025-11-20T182241.756.png?v=1763655769,https://proteindistrictlb.com/products/rule-1-creatine-75-servings-unflavored
8770434433242,46137472876762,Muscletech Nitrotech Ripped,Product / 1.8kg - 43 servings / Vanilla,Isolate | Whey protein,MuscleTech,95.00,5.00,Whey protein,100.00,+5.00,5.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/81OG-6BgiUL._AC_SL1500.jpg?v=1787667056,https://proteindistrictlb.com/products/muscletech-nitrotech-ripped
8770434433242,46258089558234,Muscletech Nitrotech Ripped,Nutrition Facts / 1.8kg - 43 servings / Vanilla,Isolate | Whey protein,MuscleTech,95.00,5.00,Whey protein,100.00,+5.00,5.3%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/81OG-6BgiUL._AC_SL1500.jpg?v=1787667056,https://proteindistrictlb.com/products/muscletech-nitrotech-ripped
9448381710554,48477539696858,Dymatize Iso 100,vanilla gourmet / 45 serving,Isolate | Whey protein,Dymatize Iso,105.00,5.00,Whey protein,110.00,+5.00,4.8%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/103312875_a4de044d85d4b25ea_58790_69e45555-1a55-4385-b1f3-86039f94e524.webp?v=1787407371,https://proteindistrictlb.com/products/dymatize-iso-101
9448381710554,48477539729626,Dymatize Iso 100,fudge brownie / 45 serving,Isolate | Whey protein,Dymatize Iso,105.00,5.00,Whey protein,110.00,+5.00,4.8%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/103312875_a4de044d85d4b25ea_58790_69e45555-1a55-4385-b1f3-86039f94e524.webp?v=1787407371,https://proteindistrictlb.com/products/dymatize-iso-101
8765877158106,46122720592090,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / gourmet vanilla,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720624858,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / chocolate gourmet,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720657626,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / strawberry,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720690394,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / cookies and cream,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720723162,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / fruity pebbles,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720755930,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / chocolate peanut butter,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720788698,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / cocoa pebbles,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46122720821466,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / birthday cake pebbles,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,48477292331226,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / dunkin cappuccino,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,48477498605786,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / dunkin mocha latte,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,48477498638554,Dymatize Iso 100,Product / 2.3kg - 71 to 76 servings / dunkin glazed donut,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46264884396250,Dymatize Iso 100,Nutrition Facts / 2.3kg - 71 to 76 servings / gourmet vanilla,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46264884429018,Dymatize Iso 100,Nutrition Facts / 2.3kg - 71 to 76 servings / chocolate gourmet,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46264884461786,Dymatize Iso 100,Nutrition Facts / 2.3kg - 71 to 76 servings / strawberry,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46264884494554,Dymatize Iso 100,Nutrition Facts / 2.3kg - 71 to 76 servings / cookies and cream,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46264884527322,Dymatize Iso 100,Nutrition Facts / 2.3kg - 71 to 76 servings / fruity pebbles,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,False,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
8765877158106,46264884560090,Dymatize Iso 100,Nutrition Facts / 2.3kg - 71 to 76 servings / chocolate peanut butter,Discount | Isolate | Whey protein,Dymatize Iso,155.00,5.00,Whey protein,160.00,+5.00,3.2%,,True,,https://cdn.shopify.com/s/files/1/0737/7384/2650/files/Dymatize-Iso-100-7.jpg?v=1739954783,https://proteindistrictlb.com/products/dymatize-iso-100
